id,status,availability/bikes,availability/slots
1,OPN,13,14
2,OPN,10,2
3,OPN,9,27
4,OPN,6,9
5,OPN,8,4
6,OPN,11,3
7,OPN,9,15
8,OPN,8,4
9,OPN,17,7
10,OPN,11,25
11,OPN,2,13
12,OPN,7,8
13,OPN,20,16
14,OPN,14,22
15,OPN,7,17
16,OPN,24,11
17,OPN,17,10
18,OPN,25,11
19,OPN,21,3
20,OPN,10,14
21,OPN,18,6
22,OPN,25,11
23,OPN,8,28
24,OPN,8,19
25,OPN,21,6
26,OPN,7,11
27,OPN,15,21
28,OPN,9,18
29,OPN,23,13
30,OPN,8,27
31,OPN,5,31
32,OPN,12,22
33,OPN,9,18
34,OPN,1,35
35,OPN,2,33
36,OPN,4,29
37,OPN,2,17
38,OPN,0,34
39,OPN,3,18
40,OPN,5,19
41,OPN,21,15
42,OPN,4,20
43,OPN,30,3
44,OPN,0,26
45,OPN,0,36
46,OPN,5,31
47,OPN,0,24
48,OPN,12,0
49,OPN,9,27
50,OPN,0,27
51,OPN,3,23
52,CLS,0,3
53,OPN,13,0
54,OPN,2,33
55,CLS,0,15
56,OPN,3,31
57,OPN,7,5
58,OPN,3,23
59,OPN,0,35
60,OPN,11,25
61,OPN,1,35
62,OPN,7,11
63,OPN,6,30
64,OPN,1,34
65,OPN,11,7
66,OPN,17,10
67,OPN,12,12
68,OPN,2,28
69,OPN,0,21
70,OPN,1,35
71,OPN,10,26
72,OPN,12,15
73,OPN,5,31
74,OPN,0,27
75,OPN,5,10
76,OPN,7,14
77,OPN,12,3
78,OPN,6,29
79,OPN,4,23
80,OPN,4,32
81,OPN,5,18
82,CLS,12,0
83,OPN,0,15
84,OPN,17,4
85,OPN,4,11
86,OPN,13,8
87,OPN,6,18
88,OPN,6,9
89,OPN,0,12
90,OPN,0,27
91,OPN,12,8
92,OPN,4,17
93,OPN,4,31
94,OPN,4,18
95,OPN,2,15
96,OPN,26,9
97,OPN,9,18
98,OPN,15,20
99,OPN,24,5
100,OPN,7,16
101,OPN,13,20
102,OPN,11,3
103,OPN,11,16
104,OPN,8,7
105,OPN,18,5
106,OPN,15,12
107,OPN,6,30
108,OPN,18,18
109,OPN,9,21
110,OPN,25,11
111,CLS,8,16
112,OPN,10,13
113,OPN,2,19
114,OPN,14,10
115,OPN,9,17
116,OPN,6,18
117,OPN,12,20
118,OPN,7,14
119,OPN,23,13
120,OPN,15,9
121,OPN,10,8
122,OPN,14,15
123,OPN,12,18
124,OPN,14,20
125,OPN,21,14
126,OPN,11,24
127,OPN,10,19
128,OPN,7,17
129,OPN,7,17
130,OPN,8,13
131,OPN,6,12
132,OPN,19,5
133,OPN,25,11
134,OPN,5,28
135,OPN,25,11
136,OPN,3,23
137,OPN,27,0
138,OPN,14,9
139,OPN,12,12
140,OPN,14,4
141,OPN,2,28
142,OPN,12,18
143,OPN,21,0
144,OPN,27,0
145,OPN,11,16
146,OPN,3,21
147,OPN,24,2
148,OPN,19,5
149,OPN,5,29
150,OPN,13,14
151,OPN,14,13
152,OPN,7,23
153,OPN,18,3
154,OPN,14,18
155,OPN,30,3
156,OPN,12,6
157,OPN,9,21
158,OPN,17,19
159,OPN,18,17
160,OPN,21,9
161,OPN,13,8
162,OPN,24,2
163,OPN,23,12
164,OPN,10,14
165,OPN,19,2
166,OPN,2,22
167,OPN,15,9
168,OPN,18,3
169,OPN,21,0
170,OPN,9,11
171,OPN,12,15
172,OPN,15,2
173,OPN,16,5
174,OPN,24,9
175,OPN,12,11
176,OPN,26,10
177,OPN,7,14
178,OPN,10,20
179,OPN,2,25
180,OPN,19,11
181,OPN,15,8
182,OPN,8,28
183,OPN,26,10
184,OPN,9,27
185,OPN,12,18
186,OPN,18,0
187,OPN,13,8
188,OPN,6,8
189,OPN,8,9
190,OPN,10,14
191,OPN,16,5
192,OPN,11,25
193,OPN,13,23
194,OPN,0,24
195,OPN,8,16
196,OPN,3,24
197,OPN,3,33
198,OPN,3,24
199,OPN,6,17
200,OPN,6,21
201,OPN,4,14
202,OPN,3,18
203,OPN,10,14
204,OPN,10,17
205,OPN,7,14
206,OPN,4,20
207,OPN,4,20
208,OPN,0,27
209,OPN,2,22
210,OPN,9,18
211,OPN,0,36
212,OPN,0,36
213,OPN,3,24
214,OPN,3,21
215,OPN,1,23
216,OPN,5,19
217,OPN,0,36
218,OPN,0,24
219,OPN,3,33
220,OPN,3,21
221,OPN,0,24
222,OPN,2,28
223,OPN,0,30
224,OPN,5,16
225,OPN,4,20
226,OPN,1,26
227,OPN,3,21
228,OPN,3,18
229,OPN,3,18
230,OPN,3,15
231,OPN,2,25
232,OPN,9,21
233,OPN,2,13
234,OPN,2,25
235,OPN,2,25
236,OPN,2,28
237,OPN,0,30
238,OPN,1,28
239,OPN,2,19
240,OPN,3,33
241,OPN,7,29
242,OPN,1,29
243,OPN,0,27
244,OPN,1,17
245,OPN,0,24
246,OPN,2,13
247,OPN,0,30
248,OPN,6,20
249,OPN,3,15
250,OPN,1,26
251,OPN,5,13
252,OPN,5,13
253,OPN,0,21
254,OPN,26,4
255,OPN,27,9
256,OPN,18,9
257,OPN,6,15
258,OPN,11,19
259,OPN,14,10
260,OPN,23,1
261,OPN,19,11
262,OPN,4,29
263,OPN,17,13
264,OPN,24,11
265,OPN,25,11
266,OPN,30,6
267,OPN,27,9
268,OPN,24,11
269,OPN,24,12
270,OPN,23,13
271,OPN,28,7
272,OPN,24,10
273,OPN,25,11
274,OPN,25,11
275,OPN,25,11
276,OPN,21,9
277,OPN,11,16
278,OPN,9,12
279,OPN,11,19
280,OPN,23,13
281,OPN,8,22
282,OPN,10,8
283,OPN,7,14
284,OPN,1,30
285,OPN,11,7
286,OPN,8,12
287,OPN,9,12
288,OPN,12,5
289,OPN,6,12
290,OPN,8,19
291,OPN,11,16
292,OPN,9,27
293,OPN,5,31
294,OPN,5,19
295,OPN,14,22
296,OPN,23,4
297,OPN,11,22
298,OPN,14,7
299,OPN,10,14
300,OPN,12,9
301,OPN,0,24
302,OPN,4,32
303,OPN,14,13
304,OPN,5,27
305,OPN,10,26
306,OPN,0,36
307,OPN,6,21
308,OPN,4,26
309,OPN,7,20
310,OPN,10,5
311,OPN,14,4
312,OPN,9,18
313,OPN,3,21
314,OPN,3,18
315,OPN,0,21
316,OPN,0,27
317,OPN,12,24
318,OPN,5,16
319,OPN,8,19
320,OPN,15,3
321,OPN,24,0
322,OPN,17,10
323,OPN,10,14
324,OPN,13,5
325,OPN,1,23
326,OPN,0,36
327,OPN,2,28
328,OPN,14,13
329,OPN,12,12
330,OPN,0,18
331,OPN,6,21
332,OPN,6,17
333,OPN,13,8
334,OPN,1,35
335,OPN,0,33
336,OPN,5,16
337,OPN,13,8
338,OPN,13,8
339,OPN,4,17
340,OPN,24,6
341,OPN,22,8
342,OPN,20,16
343,OPN,4,14
344,OPN,2,25
345,OPN,2,19
346,OPN,0,24
347,OPN,7,20
348,OPN,3,15
349,OPN,4,17
350,OPN,1,29
351,OPN,8,10
352,OPN,4,26
353,OPN,1,26
354,OPN,1,23
355,OPN,2,18
356,OPN,5,13
357,OPN,3,21
358,OPN,15,9
359,OPN,3,30
360,OPN,11,16
361,OPN,0,27
362,OPN,1,20
363,OPN,2,19
364,OPN,0,27
365,CLS,0,18
366,OPN,1,23
367,OPN,1,20
368,OPN,0,24
369,OPN,1,35
370,OPN,1,29
371,OPN,5,16
372,OPN,7,14
373,OPN,11,7
374,OPN,1,29
375,OPN,15,9
376,OPN,2,25
377,OPN,4,32
378,OPN,11,19
379,OPN,0,36
380,OPN,4,22
381,OPN,0,27
382,OPN,0,24
383,OPN,11,4
384,OPN,20,1
385,OPN,12,22
386,OPN,11,25
387,OPN,5,13
388,OPN,8,13
389,OPN,3,33
390,OPN,0,34
391,OPN,8,19
392,OPN,2,19
393,OPN,0,35
394,CLS,19,17
395,OPN,5,25
396,OPN,9,12
397,OPN,4,26
398,OPN,11,16
399,OPN,9,27
400,OPN,5,25
401,OPN,0,33
402,OPN,7,23
403,OPN,9,20
404,OPN,27,2
405,OPN,15,15
406,OPN,13,8
407,OPN,8,13
408,OPN,13,14
409,OPN,11,13
410,OPN,3,21
411,OPN,8,28
412,OPN,16,20
413,OPN,3,33
414,OPN,10,20
415,OPN,7,23
416,OPN,0,30
417,OPN,7,23
418,OPN,5,31
419,OPN,9,21
420,OPN,5,22
421,OPN,10,20
422,OPN,0,21
423,OPN,0,24
424,OPN,10,5
425,OPN,5,31
426,OPN,8,28
427,OPN,9,12
428,OPN,10,16
429,OPN,8,12
430,OPN,16,14
431,OPN,10,11
432,OPN,1,35
433,OPN,5,16
434,OPN,6,21
435,OPN,3,33
436,OPN,0,30
437,OPN,0,21
438,OPN,3,21
439,OPN,4,14
440,OPN,0,36
441,OPN,0,36
442,OPN,0,24
443,OPN,1,29
444,OPN,10,8
445,OPN,10,26
446,OPN,21,15
447,OPN,7,19
448,OPN,10,20
449,OPN,3,32
450,OPN,9,21
451,OPN,0,36
452,OPN,7,11
