id,name,address,addressNumber,zipCode,districtCode,districtName,altitude,nearbyStations/0,location/lat,location/lon,stationType,nearbyStations/1,nearbyStations/2,nearbyStations/3
448,448 DR. ANDRADE - ARCOS DE BELÉN,DR. ANDRADE ARCOS DE BELÉN,S/N,,,,,448,19.426611,-99.14447,"BIKE,TPV",,,
440,440 REAL DE MAYORAZGO-PUENTE XOCO,440 - Real De Mayorazgo-Puente Xoco,S/N,3330,1,Ampliación Granada,,433,19.36065,-99.168669,BIKE,439,441,
443,443 BRUNO TRAVEN-GOLONDRINAS,443 - Bruno Trave-Avenida México-Coyoacan,S/N,3340,1,Ampliación Granada,,432,19.359655,-99.162025,BIKE,442,444,
402,402 UXMAL-MUNICIPIO LIBRE,402 - Uxmal-Municipio Libre,S/N,3310,1,Ampliación Granada,,401,19.3709452,-99.1587223,"BIKE,TPV",403,405,
416,416 RECREO-PARROQUÍA,416 - Recreo-Parroquía,S/N,3104,1,Ampliación Granada,,390,19.371308,-99.177607,BIKE,391,415,
437,437 MORAS-COMUNAL,437 - Moras-Comunal,S/N,3240,1,Ampliación Granada,,423,19.36480833,-99.17602222,BIKE,436,438,
438,438 ADOLFO PRIETO-JOSÉ MARÍA OLLOQUI,438 - Adolfo Prieto-José María Olloqui,S/N,3240,1,Ampliación Granada,,434,19.36479722,-99.17458333,BIKE,435,437,
321,321 TORRES ADALID-ANAXÁGORAS,321 - Torres Adalid-Anaxágoras,S/N,3020,1,Ampliación Granada,,320,19.389477,-99.157513,BIKE,322,340,
322,322 HERIBERTO FRÍAS-CONCEPCIÓN BEISTEGUI,322 - Heriberto Frías-Concepción Beistegui,S/N,3020,1,Ampliación Granada,,321,19.388528,-99.160616,BIKE,323,339,
347,347 PENNSYLVANIA-MAXIMINO AVILA CAMACHO,347 - Pennsylvania-Maximino Avila Camacho,S/N,3710,1,Ampliación Granada,,334,19.384378,-99.176097,"BIKE,TPV",346,348,
350,350 JOSE CLEMENTE OROZCO-CORREGGIO,350 - Jose Clemente Orozco-Correggio,S/N,3710,1,Ampliación Granada,,349,19.384062,-99.181482,BIKE,352,,
356,356 MATIAS ROMERO -ADOLFO PRIETO,356 - Matias Romero -Adolfo Prieto,S/N,3100,1,Ampliación Granada,,355,19.381292,-99.170171,BIKE,357,372,
361,361 PORFIRIO DÍAZ-AV. INSURGENTES,361 - Porfirio Díaz-Av. Insurgentes,S/N,3100,1,Ampliación Granada,,354,19.3804457,-99.1762233,BIKE,369,370,
368,368 PORFIRIO DÍAZ-CINCINATTI ,368 - Porfirio Díaz-Cincinatti,S/N,3740,1,Ampliación Granada,,366,19.379246,-99.179344,BIKE,367,369,
369,369 PORFIRIO DÍAZ-AV. INSURGENTES,369 - Porfirio Díaz-Av. Insurgentes,S/N,3740,1,Ampliación Granada,,367,19.379884,-99.177478,BIKE,368,,
372,372 DR. ROBERTO GAYOL-TLACOQUEMECATL,372 - Dr. Roberto Gayol-Tlacoquemecatl,S/N,3104,1,Ampliación Granada,,373,19.37797,-99.170289,"BIKE,TPV",378,379,
379,379 DR. ROBERTO GAYOL-MIGUEL LAURENT,379 - Dr. Roberto Gayol-Miguel Laurent,S/N,3104,1,Ampliación Granada,,378,19.375751,-99.17084,BIKE,380,395,
3,3 REFORMA-INSURGENTES,003 - Reforma - Insurgentes,S/N,06500,1,Ampliación Granada,,8,19.431655,-99.158668,"BIKE,TPV",20,86,
12,12 RIO LERMA-VILLALONGIN,012 - Río Lerma - Villalongin,S/N,06500,1,Ampliación Granada,,11,19.432313,-99.161597,BIKE,19,20,85
13,13 REFORMA-RIO RODANO,013 - Reforma - Rio Rodano,S/N,06500,1,Ampliación Granada,,7,19.423778,-99.175558,"BIKE,TPV",14,21,
16,16 REFORMA-RIO GUADALQUIVIR,016 - Reforma - Rio Guadalquivir,S/N,06500,1,Ampliación Granada,,9,19.42653,-99.169164,BIKE,23,24,
17,17 REFORMA-RIO TIBER,017 - Reforma - Rio Tiber,S/N,06500,1,Ampliación Granada,,16,19.427501,-99.167125,"BIKE,TPV",18,25,
19,19 REFORMA-RIO NEVA,019 - Reforma - Rio Neva,S/N,06500,1,Ampliación Granada,,12,19.43001,-99.161675,"BIKE,TPV",20,27,
21,21 REFORMA-LIEJA,021 - Reforma - Lieja,S/N,06500,1,Ampliación Granada,,7,19.423317,-99.175124,"BIKE,TPV",13,14,28
36,36 PUEBLA-VERACRUZ,036 - Puebla - Veracruz,S/N,06140,1,Ampliación Granada,,37,19.419725,-99.175778,"BIKE,TPV",44,,
47,47 GLORIETA CIBELES-OAXACA,047 - Glorieta Cibeles - Oaxaca,S/N,06700,1,Ampliación Granada,,42,19.419515,-99.166299,"BIKE,TPV",51,56,
41,41 REFORMA-AV. DE LA REPUBLICA,041 - Reforma - Av. de la República,S/N,06700,1,Ampliación Granada,,29,19.435637,-99.150137,"BIKE,TPV",,,
55,55 5 DE MAYO-BOLIVAR,055 - 5 de Mayo - Bolívar,S/N,06700,1,Ampliación Granada,,65,19.434356,-99.138064,"BIKE,TPV",87,88,
57,57 CUERNAVACA-JUAN ESCUTIA,057 - Cuernavaca - Juan Escutia,S/N,06140,1,Ampliación Granada,,48,19.414903,-99.17495,BIKE,49,50,62
66,66 MAZATLAN-FRANCISCO MARQUEZ,066 - Mazatlán - Francisco Marquez,S/N,06170,1,Ampliación Granada,,65,19.411402,-99.178666,BIKE,72,,
74,74 NUEVO LEON-OZULAMA,074 - Nuevo León - Ozulama,S/N,06100,1,Ampliación Granada,,63,19.410343,-99.172831,BIKE,68,71,
63,63 NUEVO LEON- LAREDO,063 - Nuevo León - Laredo,S/N,06100,1,Ampliación Granada,,70,19.413681,-99.171531,"BIKE,TPV",76,77,
70,70 PARQUE MEXICO-MICHOACAN,070 - Parque México - Michoacan,S/N,06100,1,Ampliación Granada,,69,19.411272,-99.169718,"BIKE,TPV",71,76,
88,88 2A CDA 5 DE MAYO-PALMA,088 - 2a Cerrada de 5 de Mayo - Palma,S/N,,1,Ampliación Granada,,88,19.433815,-99.135303,BIKE,,,
72,72 MAZATLAN-ALFONSO REYES,072 - Mazatlán - Alfonso Reyes,S/N,06170,1,Ampliación Granada,,65,19.409893,-99.179544,BIKE,66,75,
86,86 SULLIVAN-INSURGENTES,086 - Sullivan-Insurgentes,S/N,06470,1,Ampliación Granada,,12,19.432378,-99.159077,"BIKE,TPV",20,,
102,102 ECHEVESTE-BOLIVAR,102 - Echeveste-Bolivar,S/N,,1,Ampliación Granada,,101,19.42821,-99.13949,BIKE,104,109,
112,112 AV. MORELOS-ABRAHAM GONZALEZ,112 - Av. Morelos-Abraham González,S/N,06500,1,Ampliación Granada,,98,19.432819,-99.151734,BIKE,113,114,
123,123 CLAUDIO BERNARD-DR. LAVISTA,123 - Claudio Bernard-Dr. Lavista,S/N,06500,1,Ampliación Granada,,124,19.424161,-99.153117,BIKE,125,133,
150,150 CAMPECHE-MEDELLÍN,150 - Campeche-Medellín,S/N,,1,Ampliación Granada,,146,19.409965,-99.164292,BIKE,151,152,
154,154 TUXPAN-TLAXCALA,154 - Tuxpan-Tlaxcala,S/N,,1,Ampliación Granada,,152,19.406683,-99.167962,"BIKE,TPV",153,157,
110,110 DR. VALENZUELA-DR. RÍO DE LA LOZA,110 - Dr. Valenzuela-Dr. Río de la loza,S/N,,1,Ampliación Granada,,107,19.42513,-99.14339,BIKE,108,122,
171,171 COMERCIO-JOSE MARTÍ,171 - Comercio-Jose Martí,S/N,,1,Ampliación Granada,,167,19.402584,-99.178199,BIKE,168,173,
173,173 MINERÍA-JOSÉ MARTÍ,173 - Minería-Jose Martí,S/N,,1,Ampliación Granada,,168,19.401682,-99.176398,BIKE,169,171,
174,174 JOAQUÍN GARCIA-IGNACIO MANUEL ALTAMIRANO,174 - Joaquín Garcia-Ignacio Manuel Altamirano,S/N,,1,Ampliación Granada,,160,19.44111,-99.16164,"BIKE,TPV",183,254,
181,181 BENJAMIN FRANKLIN-SALTILLO,181 - Benjamin Franklin-Saltillo,S/N,,1,Ampliación Granada,,168,19.404976,-99.175095,BIKE,169,179,
197,197 MIGUEL DE CERVANTES-FC DE CUERNAVACA,197 - Miguel de Cervantes Saavedra-Ferrocarril de Cuernavaca,S/N,,1,Ampliación Granada,,197,19.440077,-99.204316,"BIKE,TPV",,,
204,204 TEMISTOCLES-HOMERO,204 - Temistocles-Homero,S/N,11510,1,Ampliación Granada,,196,19.435882,-99.19152,BIKE,200,245,
227,227 CAMPOS ELÍSEOS-PERIFÉRICO,227 - Campos Elíseos-Periférico,S/N,,1,Ampliación Granada,,213,19.431791,-99.207373,BIKE,219,220,
232,232 TAINE-RUBEN DARÍO ,232 - Taine -  Rubén Darío,S/N,,1,Ampliación Granada,,224,19.42894,-99.185389,BIKE,225,226,
234,234 TRES PICOS-ARQUÍMIDES ,234 - Tres Picos-Arquímides,S/N,,1,Ampliación Granada,,192,19.42783,-99.191539,BIKE,193,231,
237,237 ANDRÉS BELLO-ELLIOT ,237 - Andrés Bello-Elliot,S/N,,1,Ampliación Granada,,193,19.426744,-99.193986,"BIKE,TPV",234,238,
238,238 ANDRÉS BELLO-ELLIOT ,238 - Andrés Bello-Elliot,S/N,,1,Ampliación Granada,,193,19.426765,-99.193752,BIKE,234,237,
243,243 MIGUEL DE CERVANTES SAAVEDRA-LAGO FILT ,243 - Miguel de Cervantes Saavedra-Lago Filt,S/N,11510,1,Ampliación Granada,,199,19.440839,-99.196712,BIKE,242,244,
248,248 SHAKESPEARE-LAFAYETTE ,248 - Shakespeare-Lafayette,S/N,11510,1,Ampliación Granada,,246,19.43175,-99.177399,BIKE,247,249,
250,250 DARWIN-MARIANO ESCOBEDO ,250 - Darwin-Mariano Escobedo,S/N,11510,1,Ampliación Granada,,239,19.429057,-99.17966,"BIKE,TPV",249,252,
