id,lat,lon,name
1,19.4335714,-99.1678091,1 RIO SENA-RIO BALSAS
2,19.431386,-99.171695,2 RIO GUADALQUIVIR-RIO BALSAS
3,19.431655,-99.158668,3 REFORMA-INSURGENTES
4,19.428309,-99.171713,4 RIO NILO-RIO PANUCO
5,19.42972,-99.169363,5 RIO PANUCO-RIO TIBER
6,19.430922,-99.166959,6 RIO PANUCO-RIO SENA
7,19.425468,-99.175166,7 RIO ELBA-RIO LERMA
8,19.431141,-99.158317,8 REFORMA-GENERAL PRIM
9,19.428009,-99.169918,9 RIO GUADALQUIVIR-RIO LERMA
10,19.433321,-99.154752,10 REFORMA-RAMIREZ
11,19.430992,-99.163593,11 RIO AMAZONAS-RIO LERMA
12,19.432313,-99.161597,12 RIO LERMA-VILLALONGIN
13,19.42502,-99.17231,13 REFORMA-RIO MISSISSIPPI
14,19.424768,-99.173261,14 REFORMA-RIO DE PLATA
15,19.425477,-99.171567,15 REFORMA-RIO MISSISSIPPI
16,19.427226,-99.168242,16 REFORMA-RÍO TIBER
17,19.427501,-99.167125,17 REFORMA-RIO TIBER
18,19.42888,-99.164176,18 REFORMA-RIO RHIN
19,19.429241,-99.163377,19 REFORMA-RIO RHIN
20,19.430964,-99.160206,20 REFORMA-RIO TAMESIS
21,19.42472,-99.17206,21 REFORMA-DUBLIN
22,19.424375,-99.172575,22 REFORMA-MANCHESTER
23,19.42517,-99.17105,23 REFORMA-PRAGA
24,19.42647,-99.16822,24 REFORMA-VARSOVIA
25,19.427317,-99.166662,25 REFORMA-ESTOCOLMO
26,19.432685,-99.154726,26 REFORMA-VERSALLES
27,19.429115,-99.162614,27 REFORMA-HAVRE
28,19.423542,-99.172494,28 TOLEDO-TOKIO
29,19.434913,-99.149939,29 REFORMA-BUCARELI
30,19.426442,-99.164323,30 HAMBURGO-GENOVA
31,19.427838,-99.161193,31 HAMBURGO-INSURGENTES
32,19.422705,-99.169922,32 LONDRES-SEVILLA
33,19.424234,-99.166431,E33 LONDRES-FLORENCIA
34,19.424725,-99.163331,34 LIVERPOOL-GENOVA
35,19.424674,-99.163292,35 LIVERPOOL-GENOVA
36,19.419725,-99.175778,36 PUEBLA-VERACRUZ
37,19.420419,-99.172676,37 GUADALAJARA-PUEBLA
38,19.420801,-99.171407,38 COZUMEL-PUEBLA
39,19.421759,-99.16694,39 PUEBLA-MEDELLÍN
40,19.42223,-99.164297,40 OAXACA-PUEBLA
41,19.435637,-99.150137,41 REFORMA-AV. DE LA REPUBLICA
42,19.420472,-99.168238,42 SINALOA-VALLADOLID
43,19.435228,-99.146063,43 JUAREZ-REVILLAGIGEDO
44,19.418057,-99.174761,44 DURANGO-VERACRUZ
45,19.418649,-99.172127,45 DURANGO-SONORA
46,19.419214,-99.169732,46 DURANGO-SALAMANCA
47,19.419515,-99.166299,47 GLORIETA CIBELES-OAXACA
48,19.433686,-99.146557,48 INDEPENDENCIA-AZUETA
49,19.416712,-99.175704,49 MAZATLAN-JUAN DE LA BARRERA
50,19.416938,-99.173648,50 CUERNAVACA-VERACRUZ
51,19.417995,-99.168248,51 COLIMA-OAXACA
52,19.436236,-99.142039,52 HIDALGO-TRUJANO
53,19.414773,-99.178433,53 FERNANDO MONTES DE OCA-TULA
54,19.416215,-99.170825,54 PARQUE ESPAÑA-SONORA
55,19.434356,-99.138064,55 5 DE MAYO-BOLIVAR
56,19.416959,-99.165702,56 ALVARO OBREGON-MEDELLIN
57,19.414903,-99.17495,57 CUERNAVACA-JUAN ESCUTIA
58,19.41568,-99.171793,58 PARQUE ESPAÑA-JUAN DE LA BARRERA
59,19.415121,-99.166661,59 POPOCATEPETL-AMSTERDAM
60,19.414191,-99.177123,60 MAZATLAN-FERNANDO MONTES DE OCA
61,19.413742,-99.169525,61 AVENIDA MEXICO-SONORA
62,19.413322,-99.175202,62 FERNANDO MONTES DE OCA-AMATLAN
63,19.413681,-99.171531,63 NUEVO LEON- LAREDO
64,19.412877,-99.166986,64 SONORA-AMSTERDAM
65,19.436142,-99.139906,65 MARCONI-TACUBA
66,19.411402,-99.178666,66 MAZATLAN-FRANCISCO MARQUEZ
67,19.411797,-99.17588,67 VICENTE SUAREZ-MICHOACAN
68,19.411556,-99.17406,68 TAMAULIPAS-MICHOACAN
69,19.410733,-99.168111,69 MICHOACAN-AMSTERDAM
70,19.411272,-99.169718,70 PARQUE MEXICO-MICHOACAN
71,19.411423,-99.171351,71 AMSTERDAM-MICHOACAN
